id,instrument,trust,current_snapshot_reverified,producer_to_reader,denominator,freshness,fail_open_or_skip,negative_control,limitation,audit_base_sha
AUDIT_RECOVERY,Audyt 360 Claude,PARTIAL,True,12 strumieni tematycznych -> dwa raporty ad hoc -> pakiet odzysku,"106 hipotez; pierwotnie 12 P1, 42 P2, 52 P3","materiał z 2026-07-10, część dowodów sprzed finalnego Sprintu 4","przerwany proces nie zostawił branchu, pakietu ani handoffu; liczby syntezy nie zgadzały się z finding-level",ponowna kontrola 11/12 pierwotnych P1 oraz spójność maszynowa 110 rekordów,P2 nie przeszedł pełnego current-snapshot review; 52 P3 pozostają UNVERIFIED,70af4faea8b84d30c66dc933eadf7291f94a1b79
HEALTH_SCOREBOARD,Health scoreboard / SLO card,PARTIAL,True,wiele logów i raportów -> karta JSON/MD -> operator,"mieszane okna: 24 h, ostatni raport, ostatnia noc i osobne ledgery",per pole; brak jednego wspólnego watermarku,"uszkodzony JSONL jest pomijany, brak części metryk może pozostawić GREEN, proces kończy rc=0",25 testów fixture obecnego mastera,brak testu missing/stale mixed-source oraz automatycznego konsumenta,70af4faea8b84d30c66dc933eadf7291f94a1b79
OSRM_HEALTH_LEGACY,Legacy OSRM health,VOID,True,route/table z klienta -> punktowy wynik health,"pojedynczy pomiar, bez provenance upstream/fallback",chwila wywołania,fallback może zwrócić poprawny wynik mimo awarii upstreamu,brak kontrolowanego upstream-off z aktywnym fallbackiem,zielony wynik nie dowodzi zdrowia OSRM,70af4faea8b84d30c66dc933eadf7291f94a1b79
OSRM_HEALTH_SPRINT3,Strict OSRM health ze Sprintu 3,VALIDATED_NARROW,True,bezpośrednie route/table/nearest HTTP -> CLI,"trzy endpointy, po trzy próby punktowe",chwila wywołania; brak timera na bazowym masterze,strict parsing bez fallback-green,"28 testów brancha Sprintu 3: timeout, malformed, brak mutacji CB i brak fallback-green","waliduje wąski upstream health, nie jakość/starość map ani cały routing; nie jest LIVE na bazowym HEAD",70af4faea8b84d30c66dc933eadf7291f94a1b79
WORLD_REPLAY,world_replay,PARTIAL,True,world_record + snapshot -> replay CLI,rekordy WR1 i wybrane pola ekstraktu,per zapisany rekord; część live inputs nie jest przypięta,"broad except przy inputach, sześć porównywanych pól, powtórzenie ostatniej odpowiedzi po wyczerpaniu OSRM queue",cztery testy mechaniki,brak pełnego golden oracle i mutation testu pól pomijanych; bit-for-bit nieudowodnione,70af4faea8b84d30c66dc933eadf7291f94a1b79
WORLD_REPLAY_GATE,world_replay_gate + timer,VOID,True,WR1 + shadow join -> verdict file -> operator,210 rekordów w ostatnim verdict; overlap diff/miss wymaga jawnych klas,nocny bieg,"missing shadow nie wchodzi do verdictu, brak progu coverage, unit ignoruje niezerowy rc przez prefiks ExecStart",testy diff/miss/error/schema; realny verdict DIFFS,"biblioteka jest częściowo użyteczna, ale operacyjny zielony unit nie certyfikuje parytetu",70af4faea8b84d30c66dc933eadf7291f94a1b79
NIGHT_GUARD,night_guard,PARTIAL,True,pytest + entropy -> historia/scoreboard/OnFailure,pełna suita i poprzedni snapshot liczebności,raz na dobę,"parser może nie odzyskać nodeidów, gradual shrink nie jest wykrywany, corrupt history reseeduje baseline",realne pięć faili uruchomiło ścieżkę alarmową; osobny STRICT ujawnił pięć niezakwarantannowanych live-read script-tests,"brak dedykowanych testów parsera, a aktualna kwarantanna STRICT jest niepełna",70af4faea8b84d30c66dc933eadf7291f94a1b79
INVARIANT_FIREWALL,Invariant firewall,PARTIAL,True,hook końca decyzji -> rule_verdict w shadow,decyzje przechodzące przez hook,per decyzja,brak runtime consumera i enforcementu; przyczynowość pre-existing może być niejednoznaczna,testy COMPLETE/PARTIAL/NONE,oracle pochodzi częściowo z planu tego samego systemu,70af4faea8b84d30c66dc933eadf7291f94a1b79
FLAG_LIFECYCLE,Flag lifecycle checker,PARTIAL,True,curated registry 504 flag -> CLI/live check,"wpisy rejestru, nie wszystkie efektywne carriery procesów",na żądanie; metadata może być historyczna,"brak carrier nie zawsze jest błędem, fingerprint nie jest kompleksowo porównywany",syntetyczne błędy registry/checkera,504/504 nie dowodzi efektywnego stanu każdego procesu,70af4faea8b84d30c66dc933eadf7291f94a1b79
FLAG_HYGIENE,Flag hygiene scanner,VOID,True,tekstowy scan workspace -> orphan report,dowolne wystąpienie tokenu w kodzie/testach/komentarzach/worktree,na żądanie,"komentarz lub stary worktree wystarcza, aby ukryć sierotę",brak własnych testów semantycznego consumera,zero orphanów nie dowodzi aktywnego użycia,70af4faea8b84d30c66dc933eadf7291f94a1b79
FLAG_DOCS,Flag docs checker,PARTIAL,True,decision keys -> dokument referencyjny,169 kluczy decyzyjnych,na żądanie,"substring wystarcza za dokumentację, historyczny debt jest akceptowany",ratchet nowych braków,nie dowodzi poprawności ani kompletności opisu,70af4faea8b84d30c66dc933eadf7291f94a1b79
FLAG_EFFECT,Flag effect checker,VOID,True,nazwy flag ETAP4 -> tekstowy scan testów,127 flag i wystąpienia nazw,na żądanie,nazwa w komentarzu/fixture/nazwie testu liczy się bez ON≠OFF,brak mutation survival,liczba tested nie dowodzi efektu flagi,70af4faea8b84d30c66dc933eadf7291f94a1b79
SCHEDULED_FLIP_GATE,Scheduled flip gate,VOID,True,floor/journal/profile -> zapis flagi i log,wybrane markery i profile,per zaplanowane wykonanie,brak/malformed floor i pusty journal mogą przejść; verify przechodzi przy zero markerów; brak lock/CAS,pięć testów podstawowej mechaniki,"brak testów missing gate, unknown profile, heartbeat, zero markerów i concurrent writer",70af4faea8b84d30c66dc933eadf7291f94a1b79
BACKUP_SENTINEL,Backup sentinel,PARTIAL,True,lokalne dumpy + latest snapshot -> alert/systemd,wiek i rozmiar najnowszych artefaktów,cykliczny job,latest snapshot może nie zawierać wymaganych ścieżek; dostarczony alert może zakończyć rc=0,"ostatnie pozytywne przebiegi, brak restore/decrypt corruption test","dowodzi świeżości, nie odzyskiwalności",70af4faea8b84d30c66dc933eadf7291f94a1b79
RESTORE_DR,Restore / DR procedure,STALE,True,ręczny restore script + ostatni drill -> operator,wybrane tabele i historyczny zestaw backupu,ostatni udokumentowany drill poprzedza rozszerzenie backupu,SQL nie jest strict; jedna ścieżka wybiera niewłaściwy dump; sanity jest płytkie,brak bieżącego izolowanego restore game day,dzisiejsze zapewnienie pełnego restore pozostaje nieudowodnione,70af4faea8b84d30c66dc933eadf7291f94a1b79
